,div,p
33,"IOI discussing orangutan populations with PONGO researchersSmallholders with their commitment letters for the ILHAM programme smallholders livelihood Improvement IOI continues to work with Bunge Loders Croklaan, Kerry Group and Fortuna Mill on the Initiatif Lestari Untuk Hasil Agrikultur Mampan (""ILHAM"") programme for the second year. This project is in line with IOI's climate action strategy to maximise output from limited arable land by supporting smallholder farmers to improve their yields without the need for additional land.In December 2019, IOI finalised a fertiliser recommendation report which was shared with Fortuna Mill, for procuring sufficient biofertiliser for the smallholders and field application by February 2020. However, the process of biofertiliser distribution and application was delayed because of the MCO imposed by the government due to the COVID-19 pandemic. Activities will resume once the government lifts the necessary restrictions.Providing fair and decent living wage to the employees is one of the fundamental human rights obligations that IOI is committed to uphold by paying all employees statutory monthly minimum wage and overtime compensation, in accordance to the current labour regulations. The study that IOI has proactively participated since mid-2018 to promote such value, called the ""Fair and Decent Living Wage Study"" is one such initiative. This collaborative study, led and funded by Monash University, supported by the Ministry of Primary Industries with technical assistance from the International Labour Organisation (""ILO""), was completed in early 2020.The study charts the various labour practices used by the growers in Peninsular Malaysia, realistic estimation of livelihood requirements at different locations and initiatives by different companies to lift the living condition of workers.Among the notable outcomes from the study:Based on other living wage assessments in the most common countries of origin, it is clear that the wages earned in Malaysia (after average worker living expenses in Malaysia are subtracted) are in excess of the living wage standard of the country of origin.That while some foreign workers are made to pay high informal or subagent fees, the practice of `zero recruitment fee' and `word-of-mouth' recruitment (IOI adheres to both commitment and practices) in agent-dominated countries can prevent this sort of exploitation.The completed report is now being shared with the RSPO and the Malaysian National Interpretation (""MYNI"") Group for the purpose of benchmarking with their living wage framework. ","['Smallholders with their commitment letters for the ILHAM programme smallholders livelihood Improvement IOI continues to work with Bunge Loders Croklaan, Kerry Group and Fortuna Mill on the Initiatif Lestari Untuk Hasil Agrikultur Mampan (""ILHAM"") programme for the second year. This project is in line with IOI\'s climate action strategy to maximise output from limited arable land by supporting smallholder farmers to improve their yields without the need for additional land.', 'In December 2019, IOI finalised a fertiliser recommendation report which was shared with Fortuna Mill, for procuring sufficient biofertiliser for the smallholders and field application by February 2020. However, the process of biofertiliser distribution and application was delayed because of the MCO imposed by the government due to the COVID-19 pandemic. Activities will resume once the government lifts the necessary restrictions.', 'Providing fair and decent living wage to the employees is one of the fundamental human rights obligations that IOI is committed to uphold by paying all employees statutory monthly minimum wage and overtime compensation, in accordance to the current labour regulations. The study that IOI has proactively participated since mid-2018 to promote such value, called the ""Fair and Decent Living Wage Study"" is one such initiative. This collaborative study, led and funded by Monash University, supported by the Ministry of Primary Industries with technical assistance from the International Labour Organisation (""ILO""), was completed in early 2020.', 'The study charts the various labour practices used by the growers in Peninsular Malaysia, realistic estimation of livelihood requirements at different locations and initiatives by different companies to lift the living condition of workers.', 'Among the notable outcomes from the study:', 'Based on other living wage assessments in the most common countries of origin, it is clear that the wages earned in Malaysia (after average worker living expenses in Malaysia are subtracted) are in excess of the living wage standard of the country of origin.', ""That while some foreign workers are made to pay high informal or subagent fees, the practice of `zero recruitment fee' and `word-of-mouth' recruitment (IOI adheres to both commitment and practices) in agent-dominated countries can prevent this sort of exploitation."", 'The completed report is now being shared with the RSPO and the Malaysian National Interpretation (""MYNI"") Group for the purpose of benchmarking with their living wage framework. ']"
34,"SUSTAINABLE PARTNERSHIPS AND COLLABORATIONS stakeholders Grievance managementGrievance handling and management is of great importance to IOI. Every grievance raised is a means for us to collaborate with the affected stakeholders through the verification, investigation, and resolution process as well as an opportunity to improve our current system and processes.Throughout this financial year, IOI logged 11 cases, 9 of which were environmentally-related while the other 2 were socially-related. 64% of the cases have been successfully closed and the remaining cases are either under resolution process or pending for formal closure. Results of investigation and progress of the issues are transparently published in the IOI grievance list and communicated to the affected stakeholders. ","['Grievance handling and management is of great importance to IOI. Every grievance raised is a means for us to collaborate with the affected stakeholders through the verification, investigation, and resolution process as well as an opportunity to improve our current system and processes.', 'Throughout this financial year, IOI logged 11 cases, 9 of which were environmentally-related while the other 2 were socially-related. 64% of the cases have been successfully closed and the remaining cases are either under resolution process or pending for formal closure. Results of investigation and progress of the issues are transparently published in the IOI grievance list and communicated to the affected stakeholders. ']"
35,"IoI Pelita land disputeContinuing from last year's progress, under the directions of the RSPO Complaints Panel and in collaboration with various stakeholders (Grassroots, local communities, etc.), the complaint is progressing nearer to its resolution through the following 3-stage resolution plan.  Working groups shared their experiences and recommendation at multi-stakeholder forum chaired by Ketapang Regency's Bupati.Sensitisation sessions and joint fire drills and fire-fighting with the neighbouring villages.Development of conservation areas interconnectivity map.Sharing of the sub-landscape experience with stakeholders on a landscape level.Alerts, weather and fire hazard maps produced by Global Environment Centre (""GEC"") and shared among the stakeholders.* Details of the various initiatives mentioned can be found at the Environmental Management section on page 60 of this report.","[""Continuing from last year's progress, under the directions of the RSPO Complaints Panel and in collaboration with various stakeholders (Grassroots, local communities, etc.), the complaint is progressing nearer to its resolution through the following 3-stage resolution plan.  Working groups shared their experiences and recommendation at multi-stakeholder forum chaired by Ketapang Regency's Bupati."", 'Sensitisation sessions and joint fire drills and fire-fighting with the neighbouring villages.', 'Development of conservation areas interconnectivity map.', 'Sharing of the sub-landscape experience with stakeholders on a landscape level.', 'Alerts, weather and fire hazard maps produced by Global Environment Centre (""GEC"") and shared among the stakeholders.', '* Details of the various initiatives mentioned can be found at the Environmental Management section on page 60 of this report.']"
36,"SUSTAINABLE PARTNERSHIPS AND COLLABORATIONS manaGement aPPRoacHOperating with a vast footprint in various regions and cognizant of the role that we can play for the surrounding community even at regional levels, we continuously implement initiatives and projects to ensure communities are progressing together with the company. In areas where we are new, various processes are put in place to ensure relationship with communities are established even prior to any development through the Free, Prior and Informed Consent (""FPIC"") process 1 . After this stage, at various development and operation stages, the interest of local communities is addressed based on the Social Impact Assessment, regular stakeholder's consultative meeting and grievance mechanism.In addition to various sustainability initiatives and collaborative projects with local communities, IOI has also been fulfilling its Corporate Social Responsibility (""CSR"") in education, medical and community initiatives through the Yayasan Tan Sri Lee Shin Cheng (""Yayasan TSLSC"").","['Operating with a vast footprint in various regions and cognizant of the role that we can play for the surrounding community even at regional levels, we continuously implement initiatives and projects to ensure communities are progressing together with the company. In areas where we are new, various processes are put in place to ensure relationship with communities are established even prior to any development through the Free, Prior and Informed Consent (""FPIC"") process 1 . After this stage, at various development and operation stages, the interest of local communities is addressed based on the Social Impact Assessment, regular stakeholder\'s consultative meeting and grievance mechanism.', 'In addition to various sustainability initiatives and collaborative projects with local communities, IOI has also been fulfilling its Corporate Social Responsibility (""CSR"") in education, medical and community initiatives through the Yayasan Tan Sri Lee Shin Cheng (""Yayasan TSLSC"").']"
37,"bukit leelau mini landscape level ProjectThe Bukit Leelau Mini Landscape Level Project, a multi-stakeholders collaborative project between IOI, Bunge Loders Croklaan, Orang Asli community, GEC, Jabatan Kemajuan Orang Asli (""JAKOA""), Jabatan Perhutanan Pahang, Pekan District Officer, Tanah Makmur Berhad, Jawatankuasa Kemajuan dan Keselamatan Kampung (""JKKK"") Runchang, and Pekan Department of Health, have successfully completed in November 2019 with the following key achievements:Identification of degraded peatland and potential areas for rehabilitation;Establishment of peat swamp forest tree nursery for peatland rehabilitation; One of the positive outcomes of this project is it has increased the local community's access to good quality water, and also improves the quality of life of Orang Asli. We can also carry out fishing activities at the canal blocks which increase our food security.","['The Bukit Leelau Mini Landscape Level Project, a multi-stakeholders collaborative project between IOI, Bunge Loders Croklaan, Orang Asli community, GEC, Jabatan Kemajuan Orang Asli (""JAKOA""), Jabatan Perhutanan Pahang, Pekan District Officer, Tanah Makmur Berhad, Jawatankuasa Kemajuan dan Keselamatan Kampung (""JKKK"") Runchang, and Pekan Department of Health, have successfully completed in November 2019 with the following key achievements:', 'Identification of degraded peatland and potential areas for rehabilitation;', ""Establishment of peat swamp forest tree nursery for peatland rehabilitation; One of the positive outcomes of this project is it has increased the local community's access to good quality water, and also improves the quality of life of Orang Asli. We can also carry out fishing activities at the canal blocks which increase our food security.""]"
38,"Pak saman, Jakun tribe orang asliSince the implementation of this project, IOI has helped us to move the tree saplings, build nurseries as well as provide all the necessities for the tree planting. IOI has also conducted fire prevention and emergency response training for us and provided us with the safety equipment needed.","['Since the implementation of this project, IOI has helped us to move the tree saplings, build nurseries as well as provide all the necessities for the tree planting. IOI has also conducted fire prevention and emergency response training for us and provided us with the safety equipment needed.']"
39,"Pak Hamzah, Jakun tribe orang asliFires caused by the dryness of the peatlands have been prevented because of this project. Other than that, the increased water level around the canal block also provides us with the water we need for our daily activities. ","['Fires caused by the dryness of the peatlands have been prevented because of this project. Other than that, the increased water level around the canal block also provides us with the water we need for our daily activities. ']"
40,"Unico msPo awareness ProgrammeIOI has been engaging with the Malaysian Palm Oil Board (""MPOB"") in providing MSPO-related trainings to the smallholders within our supply chain. Aside from organising regular targeted trainings on best management practices for the smallholders, IOI had also worked with MPOB to review the MSPO certification progress of 48 of the Group's external Fresh Fruit Bunches (""FFB"") suppliers (both smallholders and outgrowers) which are supplying FFB to Unico Oil Mill and Unico Desa Oil Mill.Other than that, IOI is also exploring potential collaborations with MPOB in joint efforts to assist the smallholders and outgrowers in their MSPO certification journey. Some of the ongoing activities in collaboration with MPOB include awareness and capacity building for the smallholders and assistance in registration for the Smallholder Palm Oil Cluster (""SPOC""). ","['IOI has been engaging with the Malaysian Palm Oil Board (""MPOB"") in providing MSPO-related trainings to the smallholders within our supply chain. Aside from organising regular targeted trainings on best management practices for the smallholders, IOI had also worked with MPOB to review the MSPO certification progress of 48 of the Group\'s external Fresh Fruit Bunches (""FFB"") suppliers (both smallholders and outgrowers) which are supplying FFB to Unico Oil Mill and Unico Desa Oil Mill.', 'Other than that, IOI is also exploring potential collaborations with MPOB in joint efforts to assist the smallholders and outgrowers in their MSPO certification journey. Some of the ongoing activities in collaboration with MPOB include awareness and capacity building for the smallholders and assistance in registration for the Smallholder Palm Oil Cluster (""SPOC""). ']"
41,lee kok HungOur company is currently in the process of applying for MSPO certification. IOI's seminar on estate management has helped me to understand MSPO related matters and thus assisted me in the application process.,"[""Our company is currently in the process of applying for MSPO certification. IOI's seminar on estate management has helped me to understand MSPO related matters and thus assisted me in the application process.""]"
42,"Wong der Horng, Hanut estate s/b assistance to smallholdersIn general, smallholders have little exposure to best practices and resources to implement sustainability practices in their landholding. This limitation makes it difficult for the smallholders, as part of the supply chain, to join in the sustainability journey. Recognising this handicap within the smallholders that we are sourcing from, IOI started off several capacity building initiatives with the purpose of helping them implement best practices to increase their yield, understand better on land management as well as assist them in preparing for mandatory sustainability certifications like Malaysian Sustainable Palm Oil (""MSPO"") and Indonesian Sustainable Palm Oil (""ISPO"").","['In general, smallholders have little exposure to best practices and resources to implement sustainability practices in their landholding. This limitation makes it difficult for the smallholders, as part of the supply chain, to join in the sustainability journey. Recognising this handicap within the smallholders that we are sourcing from, IOI started off several capacity building initiatives with the purpose of helping them implement best practices to increase their yield, understand better on land management as well as assist them in preparing for mandatory sustainability certifications like Malaysian Sustainable Palm Oil (""MSPO"") and Indonesian Sustainable Palm Oil (""ISPO"").']"
43,"smallholder training on sustainability careAs part of IOI's commitment to encourage smallholders to adopt sustainable oil palm practices, Unico 3 Estate organised a sustainability care training for the smallholders located in its vicinity, including Kg Sri Ganda, Sangi Enterprise and Bukit Kretam Estate.In 79% of smallholders have successfully undergone the MSPO Certification process, with the remaining three smallholders being prepared to be certified in 2020.Outgrowers have been MSPO-certified, with one remaining supplier awaiting issuance of the certificate.Unico Group 40% of the smallholders sending crops to Unico Oil Mill have been certified under MSPO Certification while the rest are projected to be certified before the end of 2020.93% of the outgrowers have been certified under MSPO Certification.","[""As part of IOI's commitment to encourage smallholders to adopt sustainable oil palm practices, Unico 3 Estate organised a sustainability care training for the smallholders located in its vicinity, including Kg Sri Ganda, Sangi Enterprise and Bukit Kretam Estate."", 'In 79% of smallholders have successfully undergone the MSPO Certification process, with the remaining three smallholders being prepared to be certified in 2020.', 'Outgrowers have been MSPO-certified, with one remaining supplier awaiting issuance of the certificate.', 'Unico Group 40% of the smallholders sending crops to Unico Oil Mill have been certified under MSPO Certification while the rest are projected to be certified before the end of 2020.', '93% of the outgrowers have been certified under MSPO Certification.']"
44,"manaGement aPPRoacHAs an agricultural-based company dependent on the environment, IOI is fully cognizant that climate change is one of the risks to our business. This year, we are introducing the ""Climate Change Action (""CCA"") Initiative"" as one of our long-term action plans to mitigate and reduce greenhouse gas (""GHG"") emissions from our diverse operations. The ultimate aim of this initiative is to achieve carbon neutral as a group by enhancing existing carbon reduction initiatives while actively exploring new opportunities in minimising carbon emissions through operational efficiency and utilisation of renewable energy which is also in-line with the IOI's 5 strategic priorities.","['As an agricultural-based company dependent on the environment, IOI is fully cognizant that climate change is one of the risks to our business. This year, we are introducing the ""Climate Change Action (""CCA"") Initiative"" as one of our long-term action plans to mitigate and reduce greenhouse gas (""GHG"") emissions from our diverse operations. The ultimate aim of this initiative is to achieve carbon neutral as a group by enhancing existing carbon reduction initiatives while actively exploring new opportunities in minimising carbon emissions through operational efficiency and utilisation of renewable energy which is also in-line with the IOI\'s 5 strategic priorities.']"
45,"GHG emissions Reduction targetOur GHG baseline is calculated based on the net GHG emissions in 2015. Our GHG emissions calculation are science-based, that is:","['Our GHG baseline is calculated based on the net GHG emissions in 2015. Our GHG emissions calculation are science-based, that is:']"
46,"Plantations (mills & estates)based on RSPO PalmGHG calculator version 3Reduction of GHG emissions are mainly due to increased number of methane capture plants at our palm oil mills, contribution of GHG sequestration from conservation areas in PT SNA, higher utilisation of generated biogas, conversion of fossil fuel to biofuel, electricity credit from biogas-generated electricity, credit from selling of palm biomass and installation of methane avoidance facility. The overall GHG emission intensity forecast for by 2020 and 2025 are shown in Figure 1.In FocUs: clImate actIon","['Reduction of GHG emissions are mainly due to increased number of methane capture plants at our palm oil mills, contribution of GHG sequestration from conservation areas in PT SNA, higher utilisation of generated biogas, conversion of fossil fuel to biofuel, electricity credit from biogas-generated electricity, credit from selling of palm biomass and installation of methane avoidance facility. The overall GHG emission intensity forecast for by 2020 and 2025 are shown in Figure  1 .', 'In FocUs: clImate actIon']"
47,"SUSTAINABILITY FOCUS AREASRefinery -based on ISCC methodology GHG emissions intensity for refinery is forecasted to progressively reduce as per Figure 2. This will be achieved through utilisation of more green electricity from IOI Bio-Energy (""IBE"") and reduction in usage of electricity from grid. There is also a plan to progressively convert diesel usage to liquefied natural gas (""LNG"") which is expected to significantly lower the GHG emissions.Oleochemical -based on Intergovernmental Panel on Climate Change's (""IPCC"") and the Institute for Global Environmental Strategies' (""IGES"") Reduction in GHG from electricity and steam usage in Oleochemical plants were achieved by intensification of energy efficiency projects notably doubling of cogeneration power capacity and expansion of solar harvesting capabilities which translates to the forecasted GHG emissions reduction as per Figure 3. The reduction is further fuelled by better energy efficiencies in the downstream operations due to forecasted higher production capacity.As a group, IOI is forecasted to reduce its GHG emissions intensity by 19% in 2020 and 41% by 2025 which is likely to surpass the national commitment by Malaysia to reduce 45% carbon emissions intensity from its 2005 baseline by 2030 (Figure 4).","['Refinery -based on ISCC methodology GHG emissions intensity for refinery is forecasted to progressively reduce as per Figure  2 . This will be achieved through utilisation of more green electricity from IOI Bio-Energy (""IBE"") and reduction in usage of electricity from grid. There is also a plan to progressively convert diesel usage to liquefied natural gas (""LNG"") which is expected to significantly lower the GHG emissions.', 'Oleochemical -based on Intergovernmental Panel on Climate Change\'s (""IPCC"") and the Institute for Global Environmental Strategies\' (""IGES"") Reduction in GHG from electricity and steam usage in Oleochemical plants were achieved by intensification of energy efficiency projects notably doubling of cogeneration power capacity and expansion of solar harvesting capabilities which translates to the forecasted GHG emissions reduction as per Figure  3 . The reduction is further fuelled by better energy efficiencies in the downstream operations due to forecasted higher production capacity.', 'As a group, IOI is forecasted to reduce its GHG emissions intensity by 19% in 2020 and 41% by 2025 which is likely to surpass the national commitment by Malaysia to reduce 45% carbon emissions intensity from its 2005 baseline by 2030 (Figure  4 ).']"
48,"current GHG emissionsDuring 2019, IOI as a group produced 3.014 million tCO 2 -e of direct (Scope 1) GHG emissions while indirect (Scope 2) GHG emissions contributed 0.0051 million tCO 2 -e. About 51% of the total GHG emissions was from historical land use change during plantation development. A summary is shown in the  The management of CCA Initiative within IOI are embedded within the organisation through:cca-related key performance index (""kPI"") inclusion for the GMD and its top management as reported in the ASR. The KPI inclusion will be applied to the rest of the organisation to ensure a group-wide accountability.cca-related strategy, programmes and development to be overseen by IOI's Group Sustainability Steering Committee. The committee will also actively support and advocate the initiatives under the Climate Change Strategy which will also include climate action risk and opportunity scenarios.the Group Head of sustainability and each sustainability units of the business divisions will undertake and oversee the implementation and monitoring of CCA-related performance at the operations level.Our approach in implementing the CCA Initiative and IOI's strategy is developed around the following commitments:To reduce our climate change impact by setting long-term science-based target versus the baseline to provide clear GHG emissions reduction status.To promote climate action plan and practices through innovation, improved efficiency and support actions throughout the operations.To increase resilience of our business by managing risks and opportunities, forecasting climate scenarios for climate impact valuation and incorporating circular economy in our operations.44 45","['During 2019, IOI as a group produced 3.014 million tCO 2 -e of direct (Scope 1) GHG emissions while indirect (Scope 2) GHG emissions contributed 0.0051 million tCO 2 -e. About 51% of the total GHG emissions was from historical land use change during plantation development. A summary is shown in the  The management of CCA Initiative within IOI are embedded within the organisation through:', 'cca-related key performance index (""kPI"") inclusion for the GMD and its top management as reported in the ASR. The KPI inclusion will be applied to the rest of the organisation to ensure a group-wide accountability.', ""cca-related strategy, programmes and development to be overseen by IOI's Group Sustainability Steering Committee. The committee will also actively support and advocate the initiatives under the Climate Change Strategy which will also include climate action risk and opportunity scenarios."", 'the Group Head of sustainability and each sustainability units of the business divisions will undertake and oversee the implementation and monitoring of CCA-related performance at the operations level.', ""Our approach in implementing the CCA Initiative and IOI's strategy is developed around the following commitments:"", 'To reduce our climate change impact by setting long-term science-based target versus the baseline to provide clear GHG emissions reduction status.', 'To promote climate action plan and practices through innovation, improved efficiency and support actions throughout the operations.', 'To increase resilience of our business by managing risks and opportunities, forecasting climate scenarios for climate impact valuation and incorporating circular economy in our operations.', '44 45']"
49,"SUSTAINABILITY FOCUS AREASIn FocUs: clImate actIon Operational Eco-efficiency management approachOur approach to eco-efficiency is guided by our commitments as laid out in the Sustainable Palm Oil Policy (""SPOP"") and we have, in part, achieved this by integrating the circular economy model into our operation. For example, during the production of our palm oil, biomass like EFB, kernel shells, etc., and wastes like POME are recovered, repurposed and reused within the operations. The practice of utilising usable materials as secondary raw materials and optimisation of raw materials along the supply chain as well as minimisation of wastage from production further help us achieve eco-efficiency in our operation.We also actively explore potential renewable energy initiatives to reduce dependency on non-renewable energy and at the same time improve our production efficiency to achieve higher production capacity with lesser resources. Such efforts are in line with our commitment to United Nation Sustainable Development Goals (""UN SDG"") 12-Responsible Consumption and Production and UN SDG 13 -Climate Action.","['In FocUs: clImate actIon Operational Eco-efficiency management approach', 'Our approach to eco-efficiency is guided by our commitments as laid out in the Sustainable Palm Oil Policy (""SPOP"") and we have, in part, achieved this by integrating the circular economy model into our operation. For example, during the production of our palm oil, biomass like EFB, kernel shells, etc., and wastes like POME are recovered, repurposed and reused within the operations. The practice of utilising usable materials as secondary raw materials and optimisation of raw materials along the supply chain as well as minimisation of wastage from production further help us achieve eco-efficiency in our operation.', 'We also actively explore potential renewable energy initiatives to reduce dependency on non-renewable energy and at the same time improve our production efficiency to achieve higher production capacity with lesser resources. Such efforts are in line with our commitment to United Nation Sustainable Development Goals (""UN SDG"") 12-Responsible Consumption and Production and UN SDG 13 -Climate Action.']"
50,"our PerformanceRenewable Energy: Methane Capture Methane gas generated from anaerobic digestion of POME, one of the main sources of GHG emissions from plantation operation, can be much reduced by the installation of methane capture facility or methane avoidance facility for the mills. As of June 2020, IOI has 10 palm oil mills equipped with methane capture plant which generated more than 4.3 million m 3 of biogas, with another 2 plants are planned to be commissioned in second half of 2020.The methane gas captured from methane capture facility is being utilised as renewable fuel for boiler and for electricity generation through gas engine instead of conventional diesel engine. This practice allows oil palm mills to reduce fossil fuel usage and gain GHG credit from utilisation of electricity from renewable energy. Methane capture system is also being utilised at our IOI Oleo Wittenberge plant to produce methane gas out of waste water for the generation of steam, thus helping to reduce GHG emissions and costs on energy.Renewable Energy: SolarIn 2019, as part of its solar energy initiative, IOI Oleochemical installed solar panels at its plant at Prai and was able to generate a solar power capacity of 83.49 kWp. The estimated solar energy yield per year from this project contributed to about 24.79% of the total power consumption of the main office, sports complex and cafeteria annually. Going forward, this project is to be expanded to other sites due to its effectiveness in energy saving.Solar thermal system under installation at IOI Pan-Cen for preheating boiler feed water As part of Malaysia Energy Efficiency and Solar Thermal Application Project (""MEESTA"") which is supported by the Malaysian Government and implemented by United Nations Industrial Development Organisation (""UNIDO""), a new solar harvesting system is currently being installed at the IOI Pan-Century Oleochemicals (""IOI Pan-Cen"") plant. The harvested heat will be used for preheating boiler feed water to substitute consumption of non-renewable energy usage. The plant is scheduled to be completed in late 2020. Alternative Energy: Liquefied Natural Gas SystemIn July 2019, environmental-friendly LNG is used as gas in IOI Edible Oils (""IOIEO"") Refineries' (Refinery 2 and Refinery 3) high pressure Geka boiler and will gradually replace the use of non-renewable diesel fuel for steam generation. This system has the potential to reduce as much as 20% of GHG emissions. Going forward, plans are in place to install this system at Refinery 1 after the successful utilisation in Refinery 2 and Refinery 3 plants.","['Renewable Energy: Methane Capture Methane gas generated from anaerobic digestion of POME, one of the main sources of GHG emissions from plantation operation, can be much reduced by the installation of methane capture facility or methane avoidance facility for the mills. As of June 2020, IOI has 10 palm oil mills equipped with methane capture plant which generated more than 4.3 million m 3 of biogas, with another 2 plants are planned to be commissioned in second half of 2020.', 'The methane gas captured from methane capture facility is being utilised as renewable fuel for boiler and for electricity generation through gas engine instead of conventional diesel engine. This practice allows oil palm mills to reduce fossil fuel usage and gain GHG credit from utilisation of electricity from renewable energy. Methane capture system is also being utilised at our IOI Oleo Wittenberge plant to produce methane gas out of waste water for the generation of steam, thus helping to reduce GHG emissions and costs on energy.', 'Renewable Energy: Solar', 'In 2019, as part of its solar energy initiative, IOI Oleochemical installed solar panels at its plant at Prai and was able to generate a solar power capacity of 83.49 kWp. The estimated solar energy yield per year from this project contributed to about 24.79% of the total power consumption of the main office, sports complex and cafeteria annually. Going forward, this project is to be expanded to other sites due to its effectiveness in energy saving.', 'Solar thermal system under installation at IOI Pan-Cen for preheating boiler feed water As part of Malaysia Energy Efficiency and Solar Thermal Application Project (""MEESTA"") which is supported by the Malaysian Government and implemented by United Nations Industrial Development Organisation (""UNIDO""), a new solar harvesting system is currently being installed at the IOI Pan-Century Oleochemicals (""IOI Pan-Cen"") plant. The harvested heat will be used for preheating boiler feed water to substitute consumption of non-renewable energy usage. The plant is scheduled to be completed in late 2020. Alternative Energy: Liquefied Natural Gas System', 'In July 2019, environmental-friendly LNG is used as gas in IOI Edible Oils (""IOIEO"") Refineries\' (Refinery 2 and Refinery 3) high pressure Geka boiler and will gradually replace the use of non-renewable diesel fuel for steam generation. This system has the potential to reduce as much as 20% of GHG emissions. Going forward, plans are in place to install this system at Refinery 1 after the successful utilisation in Refinery 2 and Refinery 3 plants.']"
51,"Energy Efficiency: Engineering ModificationFalling film and spiral heat exchanger were modified by combining both into series to improve heat recovery and product quality. This has improved LNG and diesel consumption by 22% as compared with past 3 years average. Just in FY2020 alone, this structural modification has saved more than 240,636 sm 3 LNG consumption.","['Falling film and spiral heat exchanger were modified by combining both into series to improve heat recovery and product quality. This has improved LNG and diesel consumption by 22% as compared with past 3 years average. Just in FY2020 alone, this structural modification has saved more than 240,636 sm 3 LNG consumption.']"
52,"Peat Protection management approachUnder No Deforestation, No Peat and No Exploitation (""NDPE""), IOI is fully committed to no new development on peatland and will adhere to the newly revised 2018 RSPO Principal & Criteria. Where the management of peatland is concerned, all our 3,850 Ha of oil palm planted on peat is being managed in accordance to the RSPO Manual on Best Management Practices for Existing Cultivation on Peat as well as Management and Rehabilitation of Peatlands. There is a continuous rehabilitation programme in place and will take place in stages in accordance with our programme and schedule.our Performance","['Under No Deforestation, No Peat and No Exploitation (""NDPE""), IOI is fully committed to no new development on peatland and will adhere to the newly revised 2018 RSPO Principal & Criteria. Where the management of peatland is concerned, all our 3,850 Ha of oil palm planted on peat is being managed in accordance to the RSPO Manual on Best Management Practices for Existing Cultivation on Peat as well as Management and Rehabilitation of Peatlands. There is a continuous rehabilitation programme in place and will take place in stages in accordance with our programme and schedule.', 'our Performance']"
53,"Peatland RehabilitationUnderstanding the environmental and climate risks that poorly managed peatland poses, apart from observing best management practices, IOI also collaborates in rehabilitation projects with other stakeholders. Other than the on-going mini landscape level project whereby 10 Ha of degraded peatland of the forest reserve adjacent to Bukit Leelau Estate are being rehabilitated, we have also began to rehabilitate some of the peat areas outside of our concession in PT Kalimantan Prima Agro Mandiri (""KPAM"") and PT Sukses Karya Sawit (""SKS"") which caught fire due to the very dry season in 2019. During the reporting period, PT SNA had also rehabilitated the peatland adjacent to its HCV Management Area with 200 Rengas Manuk /Melanorrhoea wallicii forest tree saplings.","['Understanding the environmental and climate risks that poorly managed peatland poses, apart from observing best management practices, IOI also collaborates in rehabilitation projects with other stakeholders. Other than the on-going mini landscape level project whereby 10 Ha of degraded peatland of the forest reserve adjacent to Bukit Leelau Estate are being rehabilitated, we have also began to rehabilitate some of the peat areas outside of our concession in PT Kalimantan Prima Agro Mandiri (""KPAM"") and PT Sukses Karya Sawit (""SKS"") which caught fire due to the very dry season in 2019. During the reporting period, PT SNA had also rehabilitated the peatland adjacent to its HCV Management Area with 200 Rengas Manuk /Melanorrhoea wallicii forest tree saplings.']"
54,"Fire Prevention & management management approachIOI adheres strictly to its Zero-Burning Policy and is further supported by our 3-stage Fire Management Guidelines which are:Cogeneration plant at IOI Pan-Cen stage 1: Fire prevention and monitoringFire prevention and monitoring -Fire is difficult to control once it's started and it is important that an accurate and reliable system for fire prevention monitoring is in place; Please refer to ""IOI Environmental Factsheet"" for detailed guidelines.In FocUs: covId-19IOI CORPORATION BERHAD SUSTAINABILITY REPORT 2020 46 47","['IOI adheres strictly to its Zero-Burning Policy and is further supported by our 3-stage Fire Management Guidelines which are:', 'Cogeneration plant at IOI Pan-Cen stage 1: Fire prevention and monitoring', 'Fire prevention and monitoring -Fire is difficult to control once it\'s started and it is important that an accurate and reliable system for fire prevention monitoring is in place; Please refer to ""IOI Environmental Factsheet"" for detailed guidelines.', 'In FocUs: covId-19']"
55,"SUSTAINABILITY FOCUS AREASIn FocUs: clImate actIon our PerformanceInternal Fire Monitoring and Emergency Response IOI, as the RSPO member committed to zero burning policy, strictly prohibits any burning activities within the company concessions. Most of the fire incidents we had on our concession were spread from outside of our concession. There were also some outbreaks inside the concessions which were due to natural causes, prolonged drought and possibly unintentional action by human. Within FY2020, there were a total of 17 fire incidences reported within and 52 reported outside our concessions in Indonesia. Only 1 fire incident reported outside our concession was detected in Peninsular Malaysia operation.","['In FocUs: clImate actIon our Performance', 'Internal Fire Monitoring and Emergency Response IOI, as the RSPO member committed to zero burning policy, strictly prohibits any burning activities within the company concessions. Most of the fire incidents we had on our concession were spread from outside of our concession. There were also some outbreaks inside the concessions which were due to natural causes, prolonged drought and possibly unintentional action by human. Within FY2020, there were a total of 17 fire incidences reported within and 52 reported outside our concessions in Indonesia. Only 1 fire incident reported outside our concession was detected in Peninsular Malaysia operation.']"
